STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID10,ZCTA5CE10,overlay
06,053,011101,3,060530111013,Block Group 3,G5030,S,1399858,456,+36.4159450,-121.3164457,93960,93960,geometry within ZCTA
06,053,011102,2,060530111022,Block Group 2,G5030,S,1451663,0,+36.4352108,-121.3300395,93960,93960,geometry within ZCTA
06,053,011101,2,060530111012,Block Group 2,G5030,S,284426,0,+36.4238452,-121.3129817,93960,93960,geometry within ZCTA
06,053,011102,1,060530111021,Block Group 1,G5030,S,1184434,0,+36.4300019,-121.3197869,93960,93960,geometry within ZCTA
06,053,010900,1,060530109001,Block Group 1,G5030,S,3604357,15260,+36.4743205,-121.3770688,93960,93960,geometry within ZCTA
06,097,151308,4,060971513084,Block Group 4,G5030,S,271694,0,+38.3545101,-122.6980543,94928,94928,geometry within ZCTA
06,097,151310,1,060971513101,Block Group 1,G5030,S,208340,0,+38.3374400,-122.6878625,94928,94928,geometry within ZCTA
06,097,151310,3,060971513103,Block Group 3,G5030,S,347602,0,+38.3416773,-122.6907627,94928,94928,geometry within ZCTA
06,097,151311,3,060971513113,Block Group 3,G5030,S,296037,0,+38.3271154,-122.6808352,94928,94928,geometry within ZCTA
06,097,151308,5,060971513085,Block Group 5,G5030,S,1790512,0,+38.3567926,-122.7051197,94928,94928,geometry within ZCTA
06,097,151311,4,060971513114,Block Group 4,G5030,S,239069,0,+38.3341718,-122.6808977,94928,94928,geometry within ZCTA
06,097,151311,2,060971513112,Block Group 2,G5030,S,382869,0,+38.3314741,-122.6832521,94928,94928,geometry within ZCTA
06,097,151307,1,060971513071,Block Group 1,G5030,S,570231,0,+38.3662006,-122.6892326,94928,94928,geometry within ZCTA
06,097,151307,3,060971513073,Block Group 3,G5030,S,436359,0,+38.3633739,-122.7008897,94928,94928,geometry within ZCTA
06,097,151307,4,060971513074,Block Group 4,G5030,S,756498,0,+38.3682554,-122.6955172,94928,94928,geometry within ZCTA
06,097,151310,4,060971513104,Block Group 4,G5030,S,1258093,0,+38.3396049,-122.6763841,94928,94928,geometry within ZCTA
06,097,151308,1,060971513081,Block Group 1,G5030,S,359188,0,+38.3545729,-122.6925650,94928,94928,geometry within ZCTA
06,097,151308,2,060971513082,Block Group 2,G5030,S,353095,0,+38.3588229,-122.6886859,94928,94928,geometry within ZCTA
06,097,151308,3,060971513083,Block Group 3,G5030,S,201971,0,+38.3528538,-122.6879509,94928,94928,geometry within ZCTA
06,097,151306,4,060971513064,Block Group 4,G5030,S,277906,0,+38.3457276,-122.6970518,94928,94928,geometry within ZCTA
06,097,151305,3,060971513053,Block Group 3,G5030,S,377337,0,+38.3388783,-122.7097046,94928,94928,geometry within ZCTA
06,097,151301,2,060971513012,Block Group 2,G5030,S,394225,0,+38.3351525,-122.7004902,94928,94928,geometry within ZCTA
06,097,151305,1,060971513051,Block Group 1,G5030,S,897768,0,+38.3466910,-122.7069338,94928,94928,geometry within ZCTA
06,097,151305,2,060971513052,Block Group 2,G5030,S,212441,0,+38.3396479,-122.7019619,94928,94928,geometry within ZCTA
06,097,151305,4,060971513054,Block Group 4,G5030,S,275602,0,+38.3416945,-122.7054826,94928,94928,geometry within ZCTA
06,097,151306,1,060971513061,Block Group 1,G5030,S,252731,0,+38.3483663,-122.6882143,94928,94928,geometry within ZCTA
06,097,151306,2,060971513062,Block Group 2,G5030,S,266498,0,+38.3449911,-122.6905970,94928,94928,geometry within ZCTA
06,097,151306,3,060971513063,Block Group 3,G5030,S,318067,0,+38.3491965,-122.6962464,94928,94928,geometry within ZCTA
06,053,011202,2,060530112022,Block Group 2,G5030,S,2472168,202,+36.3337238,-121.2454042,93927,93927,geometry within ZCTA
06,053,011203,3,060530112033,Block Group 3,G5030,S,450325,0,+36.3213097,-121.2508226,93927,93927,geometry within ZCTA
06,053,011204,2,060530112042,Block Group 2,G5030,S,1937880,541,+36.3152530,-121.2568385,93927,93927,geometry within ZCTA
06,053,011202,1,060530112021,Block Group 1,G5030,S,323336,0,+36.3200603,-121.2382675,93927,93927,geometry within ZCTA
