STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID10,ZCTA5CE10,overlay
36,081,025900,2,360810259002,Block Group 2,G5030,S,64620,0,+40.7464004,-073.9045386,11377,11377,geometry within ZCTA
36,081,016300,3,360810163003,Block Group 3,G5030,S,99913,0,+40.7563293,-073.9100420,11377,11377,geometry within ZCTA
36,081,020500,2,360810205002,Block Group 2,G5030,S,74057,0,+40.7339998,-073.9196383,11377,11377,geometry within ZCTA
36,081,030902,5,360810309025,Block Group 5,G5030,S,47696,0,+40.7553617,-073.8979006,11377,11377,geometry within ZCTA
36,081,024300,4,360810243004,Block Group 4,G5030,S,131682,0,+40.7387414,-073.8978570,11377,11377,geometry within ZCTA
36,081,025100,3,360810251003,Block Group 3,G5030,S,74271,0,+40.7434572,-073.9102339,11377,11377,geometry within ZCTA
36,081,026100,1,360810261001,Block Group 1,G5030,S,41325,0,+40.7495599,-073.8997020,11377,11377,geometry within ZCTA
36,081,025100,1,360810251001,Block Group 1,G5030,S,83920,0,+40.7467547,-073.9100249,11377,11377,geometry within ZCTA
36,081,026300,1,360810263001,Block Group 1,G5030,S,67553,0,+40.7474120,-073.8970537,11377,11377,geometry within ZCTA
36,081,016900,4,360810169004,Block Group 4,G5030,S,26832,0,+40.7474166,-073.9125780,11377,11377,geometry within ZCTA
36,081,024900,3,360810249003,Block Group 3,G5030,S,73938,0,+40.7441062,-073.9052291,11377,11377,geometry within ZCTA
36,081,018700,1,360810187001,Block Group 1,G5030,S,93287,0,+40.7360629,-073.9219871,11377,11377,geometry within ZCTA
36,081,025100,4,360810251004,Block Group 4,G5030,S,27512,0,+40.7454462,-073.9106490,11377,11377,geometry within ZCTA
36,081,023500,1,360810235001,Block Group 1,G5030,S,78751,0,+40.7366880,-073.9186459,11377,11377,geometry within ZCTA
36,081,023500,3,360810235003,Block Group 3,G5030,S,59325,0,+40.7389468,-073.9173120,11377,11377,geometry within ZCTA
36,081,024300,3,360810243003,Block Group 3,G5030,S,118859,0,+40.7358779,-073.8992284,11377,11377,geometry within ZCTA
36,081,024300,1,360810243001,Block Group 1,G5030,S,81726,0,+40.7380462,-073.9018478,11377,11377,geometry within ZCTA
36,081,024300,2,360810243002,Block Group 2,G5030,S,207858,0,+40.7352609,-073.9063742,11377,11377,geometry within ZCTA
36,081,024500,1,360810245001,Block Group 1,G5030,S,64634,0,+40.7401221,-073.9043634,11377,11377,geometry within ZCTA
36,081,024500,2,360810245002,Block Group 2,G5030,S,71550,0,+40.7397539,-073.9065365,11377,11377,geometry within ZCTA
36,081,024700,1,360810247001,Block Group 1,G5030,S,97621,0,+40.7422779,-073.8994500,11377,11377,geometry within ZCTA
36,081,024900,1,360810249001,Block Group 1,G5030,S,87707,0,+40.7426956,-073.9026307,11377,11377,geometry within ZCTA
