STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID10,ZCTA5CE10,overlay
53,029,971400,2,530299714002,Block Group 2,G5030,S,2814636,1797525,+48.2062765,-122.5296535,98282,98282,geometry within ZCTA
53,029,971400,3,530299714003,Block Group 3,G5030,S,22645103,62368,+48.2125091,-122.4991207,98282,98282,geometry within ZCTA
53,029,971500,1,530299715001,Block Group 1,G5030,S,14190551,3407670,+48.2523579,-122.4561538,98282,98282,geometry within ZCTA
53,029,971500,2,530299715002,Block Group 2,G5030,S,13421381,9435655,+48.2145613,-122.4526433,98282,98282,geometry within ZCTA
53,029,971600,1,530299716001,Block Group 1,G5030,S,13176547,2594118,+48.1716032,-122.5137524,98282,98282,geometry within ZCTA
53,029,971600,2,530299716002,Block Group 2,G5030,S,7609959,1890132,+48.1490273,-122.5043603,98282,98282,geometry within ZCTA
53,029,971700,2,530299717002,Block Group 2,G5030,S,11730163,3238468,+48.1303833,-122.4702793,98282,98282,geometry within ZCTA
53,029,971700,1,530299717001,Block Group 1,G5030,S,3294610,3354065,+48.1524670,-122.4621320,98282,98282,geometry within ZCTA
53,029,971400,1,530299714001,Block Group 1,G5030,S,3649023,3965861,+48.2450743,-122.5282648,98282,98282,geometry within ZCTA
53,029,971700,3,530299717003,Block Group 3,G5030,S,10431814,14223799,+48.0738069,-122.3810069,98282,98282,geometry within ZCTA
53,033,003300,1,530330033001,Block Group 1,G5030,S,319675,0,+47.6777674,-122.3713523,98117,98117,geometry within ZCTA
53,033,003100,2,530330031002,Block Group 2,G5030,S,310414,0,+47.6865857,-122.3912517,98117,98117,geometry within ZCTA
53,033,003300,5,530330033005,Block Group 5,G5030,S,279205,0,+47.6779561,-122.3815156,98117,98117,geometry within ZCTA
53,033,001500,1,530330015001,Block Group 1,G5030,S,522348,0,+47.6961958,-122.3905366,98117,98117,geometry within ZCTA
53,033,001600,3,530330016003,Block Group 3,G5030,S,374100,0,+47.6933275,-122.3779540,98117,98117,geometry within ZCTA
53,033,001702,3,530330017023,Block Group 3,G5030,S,294322,0,+47.6963785,-122.3684070,98117,98117,geometry within ZCTA
53,033,003100,5,530330031005,Block Group 5,G5030,S,936296,465516,+47.6887931,-122.4026705,98117,98117,geometry within ZCTA
53,033,001500,2,530330015002,Block Group 2,G5030,S,648127,398484,+47.6979157,-122.3990268,98117,98117,geometry within ZCTA
53,033,003400,2,530330034002,Block Group 2,G5030,S,253962,0,+47.6777748,-122.3617009,98117,98117,geometry within ZCTA
53,033,003000,4,530330030004,Block Group 4,G5030,S,324804,0,+47.6832293,-122.3794379,98117,98117,geometry within ZCTA
53,033,002900,3,530330029003,Block Group 3,G5030,S,294900,0,+47.6835401,-122.3635194,98117,98117,geometry within ZCTA
53,033,003000,3,530330030003,Block Group 3,G5030,S,390771,0,+47.6832235,-122.3735987,98117,98117,geometry within ZCTA
53,033,003000,2,530330030002,Block Group 2,G5030,S,366896,0,+47.6887443,-122.3762934,98117,98117,geometry within ZCTA
53,033,003100,1,530330031001,Block Group 1,G5030,S,305807,0,+47.6877831,-122.3854445,98117,98117,geometry within ZCTA
